fa_section,fa_feature,fa_ref,ai_route,ai_api,status,phase,owner,pr_link
§1 Product entry & tenancy,Sign up / login / forgot password,§1 Product entry & tenancy,,,✅,—,,
§1 Product entry & tenancy,Company list / switch company,§1 Product entry & tenancy,,,✅,—,,
§1 Product entry & tenancy,Admin vs standard user types,§1 Product entry & tenancy,,,✅,—,,
§1 Product entry & tenancy,Subscription packages / seat limits,§1 Product entry & tenancy,,,✅ Stripe stub/live + seat limits on invite,P9,,
§1 Product entry & tenancy,API users + OTP + IP restrict,§1 Product entry & tenancy,,,✅ Invite OTP + per-member IP allowlist,P9,,
§1 Product entry & tenancy,Google Sign-In,§1 Product entry & tenancy,,,❌,P9,,
§1 Product entry & tenancy,2FA,§1 Product entry & tenancy,,,❌,P9,,
§1 Product entry & tenancy,Developer API keys UI,§1 Product entry & tenancy,,,❌,P9,,
§2 Global navigation,Dashboard widgets (§10.9),§2 Global navigation,,,✅,P4 polish,,
§2 Global navigation,Bank (6 sidebar items),§2 Global navigation,,,✅ 6 items + recon session,P2 spot-check,,
§2 Global navigation,Sales (6 + doc types),§2 Global navigation,,,✅ activity filters + batch SI,P2 spot-check vs FA export,,
§2 Global navigation,Purchases (6 + doc types),§2 Global navigation,,,✅ activity filters + batch bills,P2 spot-check vs FA export,,
§2 Global navigation,"Inventory (Products, Adj, Transfer)",§2 Global navigation,,,✅,—,,
§2 Global navigation,"Inventory (Landed cost, LC)",§2 Global navigation,,,❌,P3,,
§2 Global navigation,Reports hub tree,§2 Global navigation,,,✅ shortcuts + FA modules + full catalog modes,P6,,
§2 Global navigation,Analytical Reports hub,§2 Global navigation,,,✅ dedicated routes for all seeded analytical defs,P6,,
§2 Global navigation,Assembly (sidebar vs Stock),§2 Global navigation,,,✅ under Stock,—,,
§2 Global navigation,"Header: tasks, support, quick add",§2 Global navigation,,,✅,—,,
§3 Cross-cutting,Smart Settings (19 accordions §12.2),§3 Cross-cutting,,,✅ all accordions persist + runtime rules,P4,,
§3 Cross-cutting,Auto voucher / journal numbers,§3 Cross-cutting,,,✅,—,,
§3 Cross-cutting,Smart Filter 1–4 / Smart Doc 1–4,§3 Cross-cutting,,,✅ labels on SI/VI/SR/VP/bank forms,P4 Smart Doc depth optional,,
§3 Cross-cutting,Transaction templates,§3 Cross-cutting,,,✅ SI/VI/bank payment/receipt/journal save/load,P2,,
§3 Cross-cutting,Recurring transactions (full),§3 Cross-cutting,,,✅ CRUD + run-due (SI/bills batch),P2,,
§3 Cross-cutting,Draft / approve workflow,§3 Cross-cutting,,,✅ draft create + approve/post guards + threshold policies,P2,,
§3 Cross-cutting,User log (audit),§3 Cross-cutting,,,✅ View deep links on key doc types,P4,,
§3 Cross-cutting,Attachments (all FA doc types),§3 Cross-cutting,,,✅ bank payment/receipt/transfer + journal + trade docs,P2,,
§3 Cross-cutting,Email invoice / SMS,§3 Cross-cutting,,,✅ / ❌,"P5, P10",,
§3 Cross-cutting,Print templates (all codes §12.1),§3 Cross-cutting,,,✅ settings + print routes,P6 PDF,,
§3 Cross-cutting,"Excel import (bank vouchers, journals, SI, customers, stock)",§3 Cross-cutting,,,"✅ import jobs: masters, opening_stock, product_tax_update, journals, bank EP/IR, SI/SR/VI/VP + postGl","P2, P7",,
§3 Cross-cutting,"Copy document (SI, journal, bank payment)",§3 Cross-cutting,,,✅,P2,,
§3 Cross-cutting,Batch SI / batch bills,§3 Cross-cutting,,,✅,P2,,
§3 Cross-cutting,Column / content / filter management,§3 Cross-cutting,,,✅ content settings hub + listing catalog API,P4,,
§3 Cross-cutting,Projects / locations on lines,§3 Cross-cutting,,,✅ masters,P2 line UX,,
§3 Cross-cutting,GST / ADT / FED / WHT on lines,§3 Cross-cutting,,,✅ GST (SI) + ADT/FED (VI) + WHT (SR/VP),P2 spot-check,,
§3 Cross-cutting,Multi-currency / FX / revaluation,§3 Cross-cutting,,,✅ bank currency + FX reval page,P2,,
§3 Cross-cutting,Lock date global + per-user,§3 Cross-cutting,,,✅,P2,,
§3 Cross-cutting,FIFO allocation,§3 Cross-cutting,,,✅,—,,
§3 Cross-cutting,"Distribution pricing (margin, trade offer, area qty)",§3 Cross-cutting,,,❌,P8,,
§3 Cross-cutting,FBR digital invoicing,§3 Cross-cutting,,,✅ stub + PRAL live when FBR_PRAL_* configured,P5,,
§3 Cross-cutting,Online payments PayPro/Kuickpay,§3 Cross-cutting,,,✅ checkout + webhook; live when PAYPRO_*/KUICKPAY_* configured,P5,,
§3 Cross-cutting,Emails add-on automation,§3 Cross-cutting,,,❌,P5,,
§4 Bank,Account balances,§4 Bank,,,✅,—,,
§4 Bank,Bank payments (multi-line nominal),§4 Bank,,,✅,—,,
§4 Bank,Bank receipts,§4 Bank,,,✅,—,,
§4 Bank,Transfers,§4 Bank,,,✅,—,,
§4 Bank,Reconciliation (tick/clear session),§4 Bank,,,✅ tick/clear/auto-match/complete,P2,,
§4 Bank,Import statement,§4 Bank,,,✅,—,,
